Compensation_Grade|Critical_Job_Flag|Difficult_to_Fill_Flag|Inactive_Flag|Job_Category_Code|Job_Category_Name|Job_Exempt_Canada|Job_Exempt_US|Job_Family|Job_Family_Group|Job_Family_Group_Name|Job_Family_Name|Job_Level_Code|Job_Level_Name|Job_Profile_Code|Job_Profile_Description|Job_Profile_ID|Job_Profile_Name|Job_Profile_Summary|Job_Profile_WID|Job_Title|Management_Level_Code|Management_Level_Name|Pay_Rate_Type|Public_Job|Work_Shift_Required|JOB_MATRIX|IS_PEOPLE_MANAGER|IS_MANAGER|FREQUENCY
00|Y|Y|False|CAT1|Manager|Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|IC1|Level IC1|JPC0001|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00001|Quality Assurance|Summary: Quality Assurance position|WID00000001|Quality Assurance|MLI|Individual Contributor|Hourly|True|True|MATRIX_FIN_IC1|False|False|Biweekly
00|Y|Y|False|CAT2|Executive|Non-Exempt|Exempt|FIN|JFG_FIN|Job Family Group FIN|Family FIN|IC4|Level IC4|JPC0002|This is the job description for Product Manager. Responsible for key duties and responsibilities.|JP00002|Product Manager|Summary: Product Manager position|WID00000002|Product Manager|MLI|Individual Contributor|Hourly|False|True|MATRIX_FIN_IC4|False|False|Biweekly
00|N|Y|False|CAT3|Individual Contributor|Non-Exempt|Exempt|HR|JFG_HR|Job Family Group HR|Family HR|M2|Level M2|JPC0003|This is the job description for Accountant. Responsible for key duties and responsibilities.|JP00003|Accountant|Summary: Accountant position|WID00000003|Accountant|MLM|Manager|Hourly|False|False|MATRIX_HR_M2|False|True|Biweekly
00|Y|N|False|CAT4|Executive|Non-Exempt|Exempt|ENG|JFG_ENG|Job Family Group ENG|Family ENG|M3|Level M3|JPC0004|This is the job description for Sales Executive. Responsible for key duties and responsibilities.|JP00004|Sales Executive|Summary: Sales Executive position|WID00000004|Sales Executive|MLM|Manager|Salary|True|True|MATRIX_ENG_M3|False|True|Biweekly
00|Y|N|False|CAT5|Senior Manager|Non-Exempt|Non-Exempt|OPS|JFG_OPS|Job Family Group OPS|Family OPS|IC2|Level IC2|JPC0005|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00005|Network Engineer|Summary: Network Engineer position|WID00000005|Network Engineer|MLI|Individual Contributor|Salary|False|False|MATRIX_OPS_IC2|False|False|Biweekly
00|Y|Y|False|CAT1|Executive|Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|IC5|Level IC5|JPC0006|This is the job description for Quality Assurance. Responsible for key duties and responsibilities.|JP00006|Quality Assurance|Summary: Quality Assurance position|WID00000006|Quality Assurance|MLI|Individual Contributor|Hourly|False|False|MATRIX_SAL_IC5|False|False|Biweekly
00|Y|Y|False|CAT2|Senior Manager|Non-Exempt|Non-Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M1|Level M1|JPC0007|This is the job description for Network Engineer. Responsible for key duties and responsibilities.|JP00007|Network Engineer|Summary: Network Engineer position|WID00000007|Network Engineer|MLM|Manager|Salary|True|False|MATRIX_SAL_M1|True|True|Biweekly
00|N|Y|False|CAT3|Senior Manager|Exempt|Exempt|SAL|JFG_SAL|Job Family Group SAL|Family SAL|M3|Level M3|JPC0008|This is the job description for Finance Manager. Responsible for key duties and responsibilities.|JP00008|Finance Manager|Summary: Finance Manager position|WID00000008|Finance Manager|MLM|Manager|Hourly|False|False|MATRIX_SAL_M3|True|True|Biweekly
00|N|Y|False|CAT4|Individual Contributor|Exempt|Exempt|MKTG|JFG_MKTG|Job Family Group MKTG|Family MKTG|IC4|Level IC4|JPC0009|This is the job description for Project Manager. Responsible for key duties and responsibilities.|JP00009|Project Manager|Summary: Project Manager position|WID00000009|Project Manager|MLI|Individual Contributor|Salary|False|True|MATRIX_MKTG_IC4|False|False|Biweekly
00|N|Y|False|CAT5|Individual Contributor|Non-Exempt|Non-Exempt|LEGAL|JFG_LEGAL|Job Family Group LEGAL|Family LEGAL|M2|Level M2|JPC0010|This is the job description for Marketing Manager. Responsible for key duties and responsibilities.|JP00010|Marketing Manager|Summary: Marketing Manager position|WID00000010|Marketing Manager|MLM|Manager|Salary|False|False|MATRIX_LEGAL_M2|True|True|Biweekly
