"prompt_id","title","category","department","copilot_surface","environment_tags","theme","prompt_text","description","tips","difficulty","workflow_area","tags","risk_flag","usage_score","persona"
"CRT-TMP-001","Document Template Creator","Universal Toolkit","Universal","Chat","Licensed M365 Copilot","Design & Create","Act as a document design specialist for enterprise communications. Create a reusable template structure for a [DOCUMENT_TYPE: e.g., project charter, business case, status report, RFP response, meeting minutes]. The template should include: (1) a professional header section with placeholders for title, date, author, version, and classification, (2) a table of contents with standard sections for this document type, (3) clearly labeled placeholder text in each section explaining what content goes there and approximate length, (4) a standard footer with page numbers and confidentiality notice, (5) formatting guidance — heading styles, table formats, and callout boxes to use. Design this for a financial services audience where clarity, compliance, and professionalism are critical. Include a ""How to Use This Template"" section at the top.","Creates professional, reusable document templates with structured placeholders, formatting guidance, and compliance-ready layouts.","Save completed templates to your organization's SharePoint template library for team-wide access. Use Copilot in Word to populate templates with content from source documents.","Beginner","Design & Create","template|document|design|create|reusable|standardization","","5","Admin/Coordinator|Analyst|Designer/Creator|Writer/Editor"
"HR-ERL-003","Employee Engagement Action Plan","Department-Specific","HR","Chat","Copilot Chat Only","Employee Relations","Act as an employee relations specialist with expertise in workplace conflict resolution and compliance. Based on [SURVEY_RESULTS_OR_FEEDBACK], create an engagement action plan: 1) Key Findings Summary, 2) Root Cause Analysis for bottom 3 scores, 3) Action Items (table: Theme | Action | Owner | Timeline | Success Metric), 4) Communication Plan to employees, 5) Follow-up measurement approach. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Turns engagement survey data into concrete improvements with accountability and measurement.","Address the top 3 issues — do not try to fix everything at once. Communicate back to employees what you heard and what you are doing about it.","Intermediate","Employee Relations","engagement|survey|action-plan|culture","High Risk","5","Analyst|HR Business Partner|Planner/Strategist|Researcher|Writer/Editor"
"MBT-SUM-001","Summarize Inbox","Themed Workflow","Universal","Chat","Copilot Chat Only","Mailbox Triage","Act as an executive assistant specialist with expertise in inbox management and prioritization. I've received [NUMBER] emails about [TOPIC/PERIOD]: [EMAIL_SUMMARIES]. Summarize the inbox: what's the overall message, key concerns, and action items? Do I need to respond to each?. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Distills email volume into clear takeaways and actions.","Copilot works best with message subjects and key excerpts; full emails not needed. Flag urgent/escalated items.","Beginner","Mailbox Triage","inbox-management|prioritization|efficiency","","5","Admin/Coordinator|Analyst|Executive|Planner/Strategist"
"MTI-001","Meeting Transcript Summarizer","Universal Toolkit","Universal","Chat","Copilot Chat Only","Productivity","Act as a meeting intelligence specialist who transforms raw transcripts into structured knowledge. Summarize this meeting transcript for [MEETING_TYPE: e.g., project standup, leadership review, client call, strategy session]. Structure as: (1) Meeting Metadata — date, duration, attendees, purpose, (2) Key Discussion Points — 3-5 main topics discussed, with the essential context for each (not just topic names but what was SAID about each), (3) Decisions Made — specific decisions with who made them and any conditions attached, (4) Action Items — table: Action | Owner | Deadline | Context/Notes, (5) Risks and Concerns Raised — issues flagged by participants with attribution, (6) Parking Lot — topics mentioned but deferred. Keep the summary under [WORD_COUNT: default 500] words. Think through what someone who missed this meeting absolutely needs to know. Verify that every named action has an owner and that no decisions are attributed incorrectly.","Transforms meeting transcripts into structured summaries with decisions, actions, and risk flagging.","Provide the full transcript including speaker labels. Add ""Focus on [SPECIFIC_TOPIC]"" if the meeting covered many topics. For client-facing meetings, add ""Flag any commitments made to the client.""","Beginner","Productivity","transcript-summary|meeting-intelligence|key-points|decisions","","5","Analyst|Executive|Planner/Strategist"
"MTI-002","Meeting Minutes and Decision Log","Universal Toolkit","Universal","Chat","Copilot Chat Only","Productivity","Act as a corporate secretary with expertise in formal meeting documentation. Create official meeting minutes from this [TRANSCRIPT/NOTES] for [MEETING_NAME]. Follow formal minutes structure: (1) Header — meeting name, date, time, location/platform, (2) Attendance — present, absent, guests (with affiliations), (3) Agenda Review — confirm agenda was followed; note any additions, (4) Minutes of Previous Meeting — approval status and any corrections, (5) Business Items — for each agenda item: discussion summary (key points only, not verbatim), motion/proposal if any, vote/decision outcome, dissenting views if recorded, (6) Action Items — table: # | Action | Responsible | Due Date | Status, (7) Next Meeting — date, time, proposed agenda items, (8) Adjournment — time meeting ended. Use neutral, objective language. Attribute positions to roles rather than individuals where appropriate for sensitivity. Verify that every agenda item has a documented outcome (decision, deferral, or action assigned).","Creates formal meeting minutes with governance-ready structure, decision documentation, and action tracking.","Provide the meeting agenda for structure alignment. Add ""This is a [BOARD/COMMITTEE/WORKING GROUP] meeting"" for appropriate formality level. For regulated environments, add ""Minutes must comply with [GOVERNANCE_STANDARD].""","Beginner","Productivity","meeting-minutes|decision-log|formal-record|governance","","5","Admin/Coordinator"
"MTI-003","Cross-Meeting Action Tracker","Universal Toolkit","Universal","Chat","Copilot Chat Only","Productivity","Act as a project coordination specialist with expertise in meeting follow-up and accountability. I have action items from [NUMBER] recent meetings. Build a consolidated action tracker: (1) Master Action List — table: Action # | Description | Owner | Source Meeting | Date Assigned | Due Date | Status (Not Started/In Progress/Complete/Overdue/Blocked), (2) Overdue Items — actions past their due date: who owns them, how overdue, and suggested follow-up message, (3) Upcoming Deadlines — actions due in the next [PERIOD: 1 week / 2 weeks], (4) Owner Summary — group by person: what each person owes, ordered by due date, (5) Carried Forward Items — actions that have been reassigned or deferred multiple times (pattern of avoidance), (6) Completion Rate — percentage of actions completed on time by owner and by meeting type. Draft a brief follow-up email for each person with overdue items: professional, specific, and constructive. Verify that no action items have been lost between meetings and that completed items are properly closed out.","Consolidates meeting actions across sessions with overdue tracking, owner summaries, and follow-up drafting.","Provide action items with their source meeting dates. Add ""Our meeting cadence is [WEEKLY/BIWEEKLY/MONTHLY]"" for timeline context. For persistent overdue items, add ""Escalation path is [MANAGER/SPONSOR].""","Intermediate","Productivity","action-tracking|follow-up|accountability|meeting-continuity","","5","Admin/Coordinator|Writer/Editor"
"PWP-DRF-001","Create from Notes","Themed Workflow","Universal","Chat","Copilot Chat Only","PowerPoint","Act as a presentation design strategist with expertise in executive storytelling. I have meeting notes/talking points: [NOTES]. Create a [LENGTH]-slide presentation outline for [AUDIENCE]. Structure: [STRUCTURE: narrative arc, problem-solution, etc.]. Key messages: [MESSAGES]. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Scaffolds presentation from raw notes quickly.","Provide main talking points; Copilot will suggest slide structure. Use this as outline; you fill in details and visuals.","Beginner","PowerPoint","presentation-development|efficiency|outline","","5","Analyst|Designer/Creator|Executive|Planner/Strategist|Writer/Editor"
"TDG-003","Standardized Report Generator from Data","Universal Toolkit","Universal","Chat","Copilot Chat Only","Reporting","Act as a reporting specialist with expertise in standardized business reporting. Generate a [REPORT_TYPE: e.g., monthly operations report, quarterly compliance report, annual review, incident report] from this data: [DATA_SOURCE]. Follow our standard report structure: (1) Executive Summary — 3-5 sentences covering the key takeaway, (2) Scorecard/Dashboard — table: Metric | Target | Actual | Status (RAG) | Trend, (3) Narrative Sections — for each reporting area: performance summary, notable events, risks, and actions taken, (4) Trend Analysis — compare to previous [PERIOD] with commentary on significant changes, (5) Appendix — supporting data tables and methodology notes. Formatting requirements: [SPECIFY: e.g., use corporate template, include page numbers, branded header/footer]. Verify that all metrics are calculated consistently with prior reports and that narrative statements are supported by the data shown. Flag any data points that appear anomalous compared to historical patterns.","Generates standardized reports from data following organizational templates with consistency checks.","Provide a previous report as a formatting reference. Add ""Our reporting cadence is [FREQUENCY] and this covers [PERIOD]"" for context. For compliance reports, specify the regulatory framework driving the reporting requirements.","Intermediate","Reporting","report-generation|template-report|standardized-output|data-to-document","","5","Admin/Coordinator|Analyst|Executive|Writer/Editor"
"UT-DAT-019","KPI Dashboard Builder","Universal Toolkit","Universal","Agent-Analyst","Licensed M365 Copilot","Analytics","Act as a senior analytics specialist with expertise in data-driven decision making. Build a KPI dashboard analyzing [DATASET]: 1) Define top 10 KPIs with calculation logic, 2) Current Period Performance vs. Target, 3) Trend Analysis (MoM and QoQ and YoY), 4) Drill-down by [DIMENSIONS] (region/product/team), 5) Alert Thresholds (red/yellow/green), 6) Executive summary of findings. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Creates an interactive KPI framework from raw data with automated status indicators.","Define what green/yellow/red means for each KPI before building. Include leading indicators alongside lagging ones. Update targets quarterly.","Intermediate","Analytics","KPI|dashboard|analytics|performance","","5","Analyst|Executive|Manager"
"UT-DRF-007","Email-to-Proposal Conversion","Universal Toolkit","Universal","Chat","Copilot Chat Only","Content Drafting","Act as a professional writer and communications strategist. From this email exchange about [TOPIC], extract the proposal and expand it into a formal proposal document for [DECISION_MAKER]. Include: executive summary, detailed scope, timeline, investment, and next steps. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Escalates informal agreements into formal documents for contracts and approval.","Ensure all key deal terms are in the email thread; Copilot will pull and structure them. Useful before legal review.","Intermediate","Content Drafting","proposal-development|formalization|contracting","High Risk","5","Analyst|Executive|Planner/Strategist|Writer/Editor"
"UT-DRF-022","Post-Mortem / Retrospective Template","Universal Toolkit","Universal","Chat","Copilot Chat Only","Continuous Improvement","Act as a continuous improvement specialist with expertise in retrospective facilitation. Facilitate a post-mortem for [INCIDENT_OR_PROJECT]: 1) Timeline of Events, 2) What Went Well (keep doing), 3) What Went Wrong (stop doing), 4) Root Causes (not just symptoms), 5) Action Items (table: Action | Owner | Due Date | Priority), 6) Lessons Learned for future reference. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Turns failures and successes into organizational learning with clear accountability for improvements.","No blame — focus on systems and processes not individuals. Capture actions with deadlines or they will not happen. Share findings broadly.","Intermediate","Continuous Improvement","retrospective|post-mortem|learning|improvement","","5","Admin/Coordinator|Analyst|Planner/Strategist"
"UT-NTB-007","Project Health Dashboard","Universal Toolkit","Universal","Notebooks","Licensed M365 Copilot|Research Agent","Project Management","Act as a certified project manager with expertise in stakeholder communication. Build a project status notebook for [PROJECT_NAME]: 1) Executive Summary with RAG status, 2) Milestone Tracker (table: Milestone | Due Date | Status | Owner), 3) Risk Register (Risk | Probability | Impact | Mitigation), 4) Budget and Timeline Trends, 5) Blockers and Next Steps. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Live project tracking in Copilot Notebooks with real-time dashboard-style reporting fed by project data.","Link to project management tools or paste snapshots. Copilot will structure and highlight risks. Update weekly for best results.","Intermediate","Project Management","notebooks|project|tracking|dashboard","","5","Analyst|Executive|Manager|Planner/Strategist|Writer/Editor"
"UT-PRD-003","Project Status Report","Universal Toolkit","Universal","Chat","Copilot Chat Only","Productivity","Act as a productivity and operations specialist. Summarize the status of [PROJECT]: [DESCRIPTION]. Report on: progress (% complete, key milestones hit), blockers, risks, and next 2 weeks of work. Format as: Summary | Progress | Risks | Next Steps. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Standardizes status communication for governance and leadership visibility.","Use a template each week for consistency; Copilot will learn your project context. Useful for steering committee reports.","Beginner","Productivity","project-management|status-reporting|governance","","5","Analyst|Executive|Manager|Planner/Strategist|Writer/Editor"
"UT-SUM-001","Executive Summary Generator","Universal Toolkit","Universal","Chat","Copilot Chat Only","Summarization","Act as a senior business analyst with expertise in executive communications. Review the attached [DOCUMENT_TYPE] and create a 1-page executive summary highlighting: key findings, business implications, recommended actions, and any risks. Organize by priority and use bullet points for clarity. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Distills lengthy documents into actionable exec summaries for leadership review.","Copilot works best with structured documents; for unstructured text, provide context clues about audience and use case. Avoid asking for ""all details in summary format"" as this defeats the purpose.","Beginner","Summarization","executive-summary|leadership|efficiency","","5","Analyst|Executive|Planner/Strategist|Writer/Editor"
"UT-SUM-002","Meeting to Action Items","Universal Toolkit","Universal","Chat","Copilot Chat Only","Summarization","Act as a senior business analyst with expertise in executive communications. I have a meeting transcript from [MEETING_TYPE] about [TOPIC]. Extract: who owns each action, deadlines, blockers, and decisions made. Format as a table with Owner | Action | Deadline | Status. Flag any missing accountability. Think through each element systematically before producing output. Note any assumptions made and flag areas where additional information would improve the analysis.","Converts meeting notes into trackable action items with clear ownership and deadlines.","Mention specific roles or names in the transcript if available; Copilot will pick them up more reliably. For recurring meetings, ask about standing items versus new actions.","Beginner","Summarization","meeting-notes|actions|accountability","","5","Analyst|Executive|Writer/Editor"
"UT-SUM-006","Email Thread Summarizer","Universal Toolkit","Universal","Chat","Copilot Chat Only","Summarization","Act as a senior business analyst with expertise in executive communications. Summarize this email thread: identify the original problem, proposals offered, objections raised, and current status. Who still needs to respond? What is the decision point?. Think through each element systematically before producing output. Before finalizing, verify completeness, accuracy, and actionability of your output. Note any assumptions made and flag areas where additional information would improve the analysis.","Distills long email chains into decision-ready briefs for leaders.","Copy/paste the entire thread; Copilot will follow the conversation flow. Useful before jumping into an ongoing thread to get up to speed.","Beginner","Summarization","email|communication|efficiency","","5","Analyst|Executive|Writer/Editor"
